Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
TTY531,TTY531,PH.palacioshospital.net,"December 5, 2019 12:57:29 PM",PH\nflores (Since: 12/5/2019 12:40:25 AM),"December 4, 2019 4:51:31 PM",23.91.218.170/192.168.203.89;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMHM,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:35:2E:93 (Primary),0,0,1,0,0,0,0,0,0,0
LAPTOP-T7FQ5081,LAPTOP-T7FQ5081,PH.palacioshospital.net,"January 19, 2021 1:28:59 PM","PH\nschwartz (Since: Jan 19, 2021 9:04:33 AM)","January 19, 2021 9:03:56 AM",209.204.30.50/192.168.202.153;,Palacios Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,N/A,Windows Defender,HP,HP 82BD ,HP Stream 14 Pro G3 Notebook PC,5CD742C3C0,Intel(R) Celeron(R) CPU N3060 @ 1.60GHz ,3.91 GB,Intel(R) HD Graphics,Realtek High Definition Audio,SanDisk DF4064 (58GB),,"Intel(R) Dual Band Wireless-AC 7265,Bluetooth Device (Personal Area Network) #2",C,44:03:2C:AC:C6:FA (Primary)44:03:2C:AC:C6:FE ,0,0,1,0,0,0,1,0,0,7
PCMCHOSP-FIN,PCMCHOSP-FIN,PH.palacioshospital.net,"January 19, 2021 1:28:59 PM","PH\mlongoria (Since: Dec 17, 2020 7:11:55 AM)","December 17, 2020 6:45:41 AM",209.204.30.50/192.168.203.44;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  15.0.5267.1000",Microsoft Security Essentials,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMHH,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:9B:04 (Primary),0,0,0,0,1,0,1,1,0,0
PCMCHOSP-MR1,PCMCHOSP-MR1,PH.palacioshospital.net,"January 19, 2021 1:28:57 PM","PH\kkisiah (Since: Jan 19, 2021 10:22:18 AM)","January 19, 2021 10:21:28 AM",209.204.30.50/192.168.202.136;,Palacios Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-75WN4A0 (931GB),ASUS DRW-24F1ST   d,Realtek PCIe GBE Family Controller,C,0C:9D:92:77:EA:2E (Primary),0,0,1,0,1,0,0,1,0,0
PCMCHOSP-MR2,PCMCHOSP-MR2,PH.palacioshospital.net,"January 19, 2021 1:29:00 PM","PH\jremlinger (Since: Jan 11, 2021 5:56:35 AM)","January 18, 2021 3:00:20 PM",209.204.30.50/192.168.202.157;,Palacios Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-08WN4A0 (931GB),ASUS DRW-24F1ST   d,Realtek PCIe GBE Family Controller,C,04:92:26:4C:44:81 (Primary),0,0,0,0,0,0,0,1,0,7
PHVH1,PHVH1,WORKGROUP,"January 19, 2021 1:28:59 PM","PHVH1\Administrator (Since: Aug 20, 2020 10:14:56 AM)","August 19, 2020 10:13:03 AM",209.204.30.50/192.168.203.72;192.168.203.75;192.168.203.71;192.168.202.37;,Palacios Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.2879,N/A,"@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-390",Dell Inc.,Dell Inc. 0599V5 ,PowerEdge R730xd,98X8C42,2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,127.91 GB,Microsoft Basic Display Adapter,N/A,DELL PERC H730P Mini SCSI Disk Device (558GB),,"Intel(R) Gigabit 4P I350-t rNDC,Intel(R) Gigabit 4P I350-t Adapter,Intel(R) Gigabit 4P I350-t Adapter #2,Intel(R) Gigabit 4P I350-t Adapter #3,Intel(R) Gigabit 4P I350-t Adapter #4,Hyper-V Virtual Ethernet Adapter #2,Hyper-V Virtual Ethernet Adapter #3",C,A0:36:9F:07:F6:50 A0:36:9F:07:F6:51 A0:36:9F:07:F6:52 A0:36:9F:07:F6:53 BC:30:5B:F0:CB:14 (Primary)BC:30:5B:F0:CB:15 BC:30:5B:F0:CB:16 BC:30:5B:F0:CB:17 ,0,0,0,0,1,0,4,1,0,1
TTY555,TTY555,WORKGROUP,"January 19, 2021 1:29:01 PM","TTY555\pharmacy (Since: Dec 14, 2020 8:07:28 AM)","December 12, 2020 11:03:30 AM",209.204.30.50/192.168.202.113;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMGY,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,USB Audio Device,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:3F:FC:FF (Primary),0,0,0,0,0,0,8,13,0,3
PCMCHOSP-MS1,PCMCHOSP-MS1,PH.palacioshospital.net,"January 19, 2021 12:50:54 PM","PH\dmelenich (Since: Jan 15, 2021 1:20:54 AM),PH\acantu (Since: Jan 15, 2021 7:23:43 AM),PH\Lcurnutt (Since: Jan 16, 2021 8:34:24 PM)","January 14, 2021 11:24:18 PM",209.204.30.50/192.168.202.11;,Palacios Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,N/A,Symantec Endpoint Protection,LENOVO,LENOVO 20NB005MUS ,20NB005MUS,PF1RVYH2,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.85 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,INTEL SSDSC2KW256G8 (238GB),,"Realtek PCIe GbE Family Controller,Intel(R) Wireless-AC 9260 160MHz,Bluetooth Device (Personal Area Network)",C,98:FA:9B:69:83:26 D4:D2:52:AF:E0:0B (Primary)D4:D2:52:AF:E0:0F ,0,0,0,0,0,0,0,0,0,14
TTY553,TTY553,PH.palacioshospital.net,"January 19, 2021 1:28:59 PM","PH\cecby (Since: Jan 19, 2021 7:17:12 AM)","January 14, 2021 7:15:38 AM",209.204.30.50/192.168.203.93;,Palacios Hospital,Work Station,Microsoft Windows 8.1 Pro  x64,6.3,9600,"Microsoft Office Home & Business 2016, Build  16.0.13530.20316",Symantec Endpoint Protection,LENOVO,LENOVO HASWELLREFRESHDT ,F0AW0077US,P900DRWC,Intel(R) Core(TM) i5-4460T CPU @ 1.90GHz ,7.92 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,ST2000DX001-1CM164 (1863GB),HL-DT-ST DVDRAM GUB0N,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC",C,00:25:AB:79:A0:AA (Primary)AC:E0:10:AC:B4:10 ,0,0,0,0,0,0,1,4,0,2
TTY529,TTY529,WORKGROUP,"January 19, 2021 1:28:58 PM","TTY529\laboratory (Since: Jan 1, 2021 11:35:25 AM)","December 12, 2020 11:04:41 AM",209.204.30.50/192.168.202.125;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMKH,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:78:24 (Primary),0,0,1,0,0,0,1,1,0,0
TTY521,TTY521,PH.palacioshospital.net,"January 19, 2021 1:28:59 PM","PH\jyoung (Since: Jan 15, 2021 3:45:07 PM)","January 19, 2021 8:42:24 AM",209.204.30.50/192.168.203.69;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Home & Business 2013, Build  15.0.5267.1000",Windows Defender,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMGN,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:78:9F (Primary),0,0,1,0,0,0,0,7,0,1
AVAYAPALACIOS,AVAYAPALACIOS,WORKGROUP,"January 19, 2021 1:28:59 PM","AVAYAPALACIOS\Administrator (Since: Sep 21, 2020 11:47:00 AM)","January 16, 2021 4:05:10 AM",209.204.30.50/192.168.1.100;172.16.21.11;192.168.203.59;,Palacios Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,,HP,,ProLiant DL320e Gen8 v2,MX252500JG,Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz ,7.84 GB,Matrox G200eh (HP) WDDM 1.2,N/A,HP LOGICAL VOLUME SCSI Disk Device (465GB),,"HP Ethernet 1Gb 2-port 332i Adapter,HP Ethernet 1Gb 2-port 332i Adapter #2",C,50:65:F3:F0:49:5C (Primary)50:65:F3:F0:49:5D ,0,0,0,0,1,0,0,0,0,0
TTY540,TTY540,WORKGROUP,"January 19, 2021 1:20:12 PM","TTY540\Nursing (Since: Jan 19, 2021 1:10:14 AM)","January 19, 2021 1:23:57 AM",209.204.30.50/192.168.202.155;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010, Build  14.0.4763.1000","@%ProgramFiles%\Windows Defender\MsMpRes.dll,-103",LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMHP,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:77:C9 (Primary),0,0,0,0,1,0,0,0,0,0
TTY537,TTY537,WORKGROUP,"January 19, 2021 1:28:59 PM","TTY537\Administrator (Since: Jan 18, 2021 12:01:42 PM)","January 18, 2021 11:43:22 AM",209.204.30.50/192.168.202.108;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMGM,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:78:A0 (Primary),0,0,1,0,1,0,0,1,0,3
TTY527,TTY527,WORKGROUP,"January 19, 2021 1:28:58 PM","TTY527\Lab draw (Since: Dec 14, 2020 1:54:10 PM)","December 12, 2020 11:04:18 AM",209.204.30.50/192.168.202.143;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMKK,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:77:A1 (Primary),0,0,0,0,1,0,0,0,0,0
TTY533,TTY533,PH.palacioshospital.net,"December 30, 2020 11:47:46 AM","PH\lfilip (Since: Jul 23, 2020 10:03:02 AM)","December 30, 2020 11:25:06 AM",209.204.30.50/192.168.202.155;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMGK,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:78:8D (Primary),0,0,0,0,0,0,0,0,0,0
TTY520,TTY520,WORKGROUP,"January 19, 2021 8:11:17 AM","TTY520\Maintenance (Since: Jan 11, 2021 3:24:58 PM)","January 18, 2021 12:54:15 AM",209.204.30.50/192.168.202.124;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Malwarebytes Anti-Malware version 2.2.1.1043,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMKD,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:9A:8E (Primary),0,0,0,0,0,0,0,7,0,2
TTY550,TTY550,PH.palacioshospital.net,"December 30, 2020 12:03:54 PM","PH\aortiz (Since: Oct 5, 2020 3:15:17 PM)","December 30, 2020 11:07:44 AM",209.204.30.50/192.168.203.46;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Home & Business 2010, Build  14.0.7015.1000",,Dell Inc.,Dell Inc. 09KPNV ,Precision WorkStation T3500,3MWJXQ1,Intel(R) Xeon(R) CPU W3530 @ 2.80GHz ,4 GB,ATI FirePro V4800 (FireGL),High Definition Audio Device,WDC WD3200AAKS-75L9A0 (298GB),HL-DT-ST DVD+-RW GH70N,Broadcom NetXtreme 57xx Gigabit Controller,C,BC:30:5B:E1:EB:1D (Primary),0,0,0,0,0,0,0,0,0,0
TTY538,TTY538,WORKGROUP,"January 19, 2021 1:28:59 PM","TTY538\Laboratory (Since: Jan 1, 2021 12:45:06 PM)","December 12, 2020 11:03:48 AM",209.204.30.50/192.168.202.102;,Palacios Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,LENOVO,LENOVO To be filled by O.E.M. ,0809C6U,MJAGMHF,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,3.97 GB,Intel(R) G41 Express Chipset,Realtek High Definition Audio,WDC WD5000AAKS-08WWPA0 ATA Device (465GB),TSSTcorp CDDVDW TS-H653J ATA Device,Marvell Yukon 88E8057 PCI-E Gigabit Ethernet Controller,C,C8:9C:DC:53:78:AD (Primary),0,0,0,0,0,0,0,5,0,3
TTY275,TTY275,PH.palacioshospital.net,"January 19, 2021 1:28:57 PM","PH\bhurtado (Since: Jan 14, 2021 7:44:09 AM)","January 14, 2021 2:18:07 AM",209.204.30.50/192.168.202.169;,Palacios Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1316,N/A,Symantec Endpoint Protection,HP,HP 82BD ,HP Stream 14 Pro G3 Notebook PC,5CD742C3C3,Intel(R) Celeron(R) CPU N3060 @ 1.60GHz ,3.91 GB,Intel(R) HD Graphics,Realtek High Definition Audio,SanDisk DF4064 (58GB),,"Intel(R) Dual Band Wireless-AC 7265,Bluetooth Device (Personal Area Network) #2",C,44:03:2C:AC:C7:54 (Primary)44:03:2C:AC:C7:58 ,0,0,0,0,0,0,0,0,0,0
